id,review
1,"This movie was ABSOLUTELY fantastic!!! I've never seen anything like it   before."
2,"Worst   film of 2026. Don't waste your $12 on a ticket, I promise you won't like it."
3,"A solid 7/10 - great visuals, but the plot dragged on for way too long..."
4,"I can't believe how good the acting was!! Robert De Niro really outdid himself this time."
5,"meh. it was fine i guess?? nothing special, wouldn't watch again tbh"
6,"The director's 3rd project is by FAR his best work -- a must watch in theaters."
7,"Two hours and 15 mins of pure boredom. 2/10 would not recommend to anyone."
8,"WOW!!! Best film I've seen in years, hands down. 10/10 no notes."
9,"It's okay... not great, not terrible. Somewhere in the middle I'd say."
10,"Ticket prices are insane these days ($18.50!) but this one was worth every penny."
11,"Honestly?  I fell asleep halfway through. Very very slow pacing throughout."
12,"A masterpiece. Simply put -- one of the best films of the decade, period."
13,"Don't get me wrong, it's not BAD, but I expected way more given the hype."
14,"5 stars from me! The soundtrack alone is worth the price of admission."
15,"Confusing plot, weak dialogue, and the CGI looked like it was from 2010."
